Path	x_min	y_min	x_max	y_max	Classid
Data_set/Left/00000_00000.ppm	6	5	21	25	34
Data_set/Left/00000_00001.ppm	5	5	21	26	34
Data_set/Left/00000_00002.ppm	5	5	22	26	34
Data_set/Left/00000_00003.ppm	5	6	22	28	34
Data_set/Left/00000_00004.ppm	5	5	23	29	34
Data_set/Left/00000_00005.ppm	6	5	24	31	34
Data_set/Left/00000_00006.ppm	6	5	27	31	34
Data_set/Left/00000_00007.ppm	6	5	27	33	34
Data_set/Left/00000_00008.ppm	6	6	29	35	34
Data_set/Left/00000_00009.ppm	5	6	29	36	34
Data_set/Left/00000_00010.ppm	5	5	31	38	34
Data_set/Left/00000_00011.ppm	6	5	34	40	34
Data_set/Left/00000_00012.ppm	5	6	34	42	34
Data_set/Left/00000_00013.ppm	5	5	35	42	34
Data_set/Left/00000_00014.ppm	5	5	41	46	34
Data_set/Left/00000_00015.ppm	6	6	43	48	34
Data_set/Left/00000_00016.ppm	6	6	44	50	34
Data_set/Left/00000_00017.ppm	6	5	45	51	34
Data_set/Left/00000_00018.ppm	5	6	45	53	34
Data_set/Left/00000_00019.ppm	5	5	47	53	34
Data_set/Left/00000_00020.ppm	5	6	50	58	34
Data_set/Left/00000_00021.ppm	5	5	50	59	34
Data_set/Left/00000_00022.ppm	6	6	52	62	34
Data_set/Left/00000_00023.ppm	5	6	54	64	34
Data_set/Left/00000_00024.ppm	6	6	59	67	34
Data_set/Left/00000_00025.ppm	5	7	59	71	34
Data_set/Left/00000_00026.ppm	7	8	63	74	34
Data_set/Left/00000_00027.ppm	6	7	64	76	34
Data_set/Left/00000_00028.ppm	6	8	64	76	34
Data_set/Left/00000_00029.ppm	7	7	65	78	34
Data_set/Left/00001_00000.ppm	5	5	23	22	34
Data_set/Left/00001_00001.ppm	5	6	23	24	34
Data_set/Left/00001_00002.ppm	5	5	23	24	34
Data_set/Left/00001_00003.ppm	5	5	24	24	34
Data_set/Left/00001_00004.ppm	5	6	25	25	34
Data_set/Left/00001_00005.ppm	5	5	26	25	34
Data_set/Left/00001_00006.ppm	5	6	26	26	34
Data_set/Left/00001_00007.ppm	6	5	28	26	34
Data_set/Left/00001_00008.ppm	6	5	29	26	34
Data_set/Left/00001_00009.ppm	5	5	28	26	34
Data_set/Left/00001_00010.ppm	5	6	28	28	34
Data_set/Left/00001_00011.ppm	5	6	28	29	34
Data_set/Left/00001_00012.ppm	6	6	30	30	34
Data_set/Left/00001_00013.ppm	6	5	30	30	34
Data_set/Left/00001_00014.ppm	6	6	31	31	34
Data_set/Left/00001_00015.ppm	5	5	31	32	34
Data_set/Left/00001_00016.ppm	6	5	31	31	34
Data_set/Left/00001_00017.ppm	6	6	31	33	34
Data_set/Left/00001_00018.ppm	5	5	33	33	34
Data_set/Left/00001_00019.ppm	6	5	35	34	34
Data_set/Left/00001_00020.ppm	5	6	34	35	34
Data_set/Left/00001_00021.ppm	6	5	35	34	34
Data_set/Left/00001_00022.ppm	5	5	36	35	34
